"종목명","평가손익
(외화)","잔고수량","매입가
(외화)","매입금액
(외화)","매입환율","손익분기매입가
(외화)","가매도수수료
(외화)","보유비중▼","미결제수량","","국가",
"종목코드","평가수익률
(외화)","매도가능수량","현재가
(외화)","평가금액
(외화)","현재환율","본전가
(외화)","가매도세금
(외화)","보유비중▼","매수","매도","통화",
"엑슨 모빌","-11.79","7","86.52","605.68","1,223.89","86.68","0.54","10.5%","0","0","미국",
"XOM","-1.94","7","84.99","594.99","1,236.40","86.60","0.01","","","","USD",
"코카콜라","22.43","8","62.25","498.00","1,213.81","62.36","0.47","9.2%","0","0","미국",
"KO","4.50","8","65.17","521.36","1,236.40","62.30","0.01","","","","USD",
"알트리아 그룹","32.25","9","51.84","466.64","1,228.05","51.94","0.45","8.8%","0","0","미국",
"MO","6.91","9","55.53","499.77","1,236.40","51.89","0.01","","","","USD",
"애플","-4.89","3","162.83","488.50","1,208.55","163.13","0.44","8.5%","0","0","미국",
"AAPL","-1.00","3","161.50","484.50","1,236.40","162.98","0.01","","","","USD",
"U.S. 뱅코프","-44.17","9","55.61","500.49","1,215.97","55.70","0.41","8.1%","0","0","미국",
"USB","-8.82","9","50.80","457.20","1,236.40","55.66","0.01","","","","USD",
"AT&T","-85.89","20","23.84","476.90","1,211.14","23.88","0.35","6.9%","0","0","미국",
"T","-18.01","20","19.59","391.80","1,236.40","23.86","0.01","","","","USD",
"WISDOMTREE US EFFICIENT CORE ETF","-23.06","10","40.53","405.34","1,198.91","40.60","0.34","6.8%","0","0","미국",
"NTSX","-5.68","10","38.30","383.00","1,236.40","40.57","0.01","","","","USD",
"리얼티 인컴","38.88","5","66.34","331.73","1,206.36","66.47","0.33","6.5%","0","0","미국",
"O","11.72","5","74.25","371.25","1,236.40","66.40","0.01","","","","USD",
"존슨앤드존슨","25.36","2","168.30","336.60","1,211.50","168.62","0.33","6.4%","0","0","미국",
"JNJ","7.53","2","181.30","362.60","1,236.40","168.45","0.01","","","","USD",
"P&G","13.94","2","153.87","307.74","1,211.49","154.16","0.29","5.7%","0","0","미국",
"PG","4.52","2","161.13","322.26","1,236.40","154.01","0.01","","","","USD",
"RPAR RISK PARITY TIDAL ETF","-22.71","14","23.66","331.24","1,198.49","23.70","0.28","5.4%","0","0","미국",
"RPAR","-6.85","14","22.08","309.12","1,236.40","23.68","0.01","","","","USD",
"쓰리엠","5.98","2","145.74","291.48","1,211.49","146.01","0.27","5.3%","0","0","미국",
"MMM","2.05","2","149.00","298.00","1,236.40","145.87","0.01","","","","USD",
"AMPLIFY BLACKSWAN GRWTH TRES CRE ETF","-11.53","5","31.74","158.70","1,198.50","31.79","0.13","2.6%","0","0","미국",
"SWAN","-7.26","5","29.49","147.45","1,236.40","31.76","0.01","","","","USD",
"ISHARES PREFERRED INCOME SEC ETF","-3.19","2","35.95","71.90","1,199.16","36.01","0.06","1.2%","0","0","미국",
"PFF","-4.43","2","34.42","68.84","1,236.40","35.98","0.01","","","","USD",
"오메가 헬스케어 인베스터스","-0.86","2","27.96","55.92","1,199.12","28.02","0.05","1.0%","0","0","미국",
"OHI","-1.53","2","27.59","55.18","1,236.40","27.99","0.01","","","","USD",
"퍼블릭 스토리지(J2PSA 5.6 PERP)","-1.27","2","25.74","51.49","1,199.16","25.79","0.05","0.9%","0","0","미국",
"PSA_PH","-2.46","2","25.16","50.32","1,236.40","25.76","0.01","","","","USD",
"골드만삭스 그룹(J2GS 6 3/8 PERP)","-1.67","2","26.33","52.67","1,199.16","26.38","0.05","0.9%","0","0","미국",
"GS_PK","-3.17","2","25.55","51.10","1,236.40","26.35","0.01","","","","USD",
"웰스파고(J2WFC 6 5/8 PERP)","-0.88","2","26.78","53.56","1,199.14","26.83","0.05","0.9%","0","0","미국",
"WFC_PR","-1.64","2","26.39","52.78","1,236.40","26.80","0.01","","","","USD",
"페니맥 모기지 인베스트먼트(PMT 8 PERP)","0.75","2","25.73","51.47","1,199.18","25.78","0.05","0.9%","0","0","미국",
"PMT_PB","1.45","2","26.16","52.32","1,236.40","25.75","0.01","","","","USD",
"Allstate","-3.30","2","23.95","47.91","1,199.18","24.00","0.04","0.8%","0","0","미국",
"ALL_PI","-6.88","2","22.35","44.70","1,236.40","23.97","0.01","","","","USD",
"아레스 캐피털","0.87","2","21.82","43.64","1,199.22","21.86","0.04","0.8%","0","0","미국",
"ARCC","1.99","2","22.30","44.60","1,236.40","21.84","0.01","","","","USD",
"DIGITAL RLTY SRS L CM RED PRF","-1.38","2","24.56","49.13","1,199.20","24.61","0.04","0.8%","0","0","미국",
"DLR_PL","-2.80","2","23.92","47.84","1,236.40","24.58","0.01","","","","USD",
"허큘리스 캐피털","-0.20","2","18.01","36.02","1,199.08","18.05","0.03","0.6%","0","0","미국",
"HTGC","-0.55","2","17.95","35.90","1,236.40","18.03","0.01","","","","USD",
"INVSC PREFERRED ETF","-1.85","2","13.61","27.23","1,199.15","13.64","0.02","0.4%","0","0","미국",
"PGX","-6.79","2","12.71","25.43","1,236.40","13.62","0.01","","","","USD",
